method,seed,flat4_accuracy,flat4_macro_f1,flat4_supported_f1,flat4_mild_f1,flat4_strong_f1,flat4_contradiction_f1,strong_binary_macro_f1,strong_positive_f1,strong_precision,strong_recall,escalation_macro_f1,escalation_positive_f1,contradiction_macro_f1,contradiction_positive_f1
E1_contra_first,66,0.4375,0.4017094017094017,0.38461538461538464,0.09090909090909091,0.4090909090909091,0.7222222222222222,0.5497835497835498,0.4090909090909091,0.32142857142857145,0.5625,0.6138763197586727,0.8431372549019608,0.8067632850241546,0.7222222222222222
E2_strong_first,66,0.390625,0.36614095124733426,0.38461538461538464,0.09090909090909091,0.3829787234042553,0.6060606060606061,0.5124770160231154,0.3829787234042553,0.2903225806451613,0.5625,0.6138763197586727,0.8431372549019608,0.734609250398724,0.6060606060606061
E3_soft_voting,66,0.359375,0.26129032258064516,0.0,0.0,0.4,0.6451612903225806,0.3904761904761905,0.4,0.2653061224489796,0.8125,0.42857142857142855,0.8571428571428571,0.7658796142334552,0.6451612903225806
baseline_flat4,77,0.40625,0.3473444118605409,0.4090909090909091,0.0,0.25806451612903225,0.7222222222222222,0.5104755570335883,0.25806451612903225,0.26666666666666666,0.25,0.5497835497835498,0.6904761904761905,0.8067632850241546,0.7222222222222222
E1_contra_first,77,0.5,0.46594178211825266,0.47058823529411764,0.19047619047619047,0.5,0.7027027027027027,0.6521739130434783,0.5,0.45,0.5625,0.639549436795995,0.8085106382978723,0.7909117909117909,0.7027027027027027
E2_strong_first,77,0.46875,0.44820261437908493,0.47058823529411764,0.19047619047619047,0.4888888888888889,0.6428571428571429,0.6058902275769745,0.4888888888888889,0.3793103448275862,0.6875,0.639549436795995,0.8085106382978723,0.7714285714285715,0.6428571428571429
E3_soft_voting,77,0.421875,0.3046875,0.0,0.0,0.46875,0.75,0.46875,0.46875,0.3125,0.9375,0.42857142857142855,0.8571428571428571,0.8333333333333333,0.75
baseline_flat4,88,0.4375,0.442689393939394,0.4090909090909091,0.375,0.32,0.6666666666666666,0.5774757281553398,0.32,0.4444444444444444,0.25,0.5497835497835498,0.6904761904761905,0.7887788778877888,0.6666666666666666
E1_contra_first,88,0.46875,0.46948816532500304,0.4,0.27586206896551724,0.4878048780487805,0.7142857142857143,0.6232127838519764,0.4878048780487805,0.4,0.625,0.6081632653061224,0.8163265306122449,0.8171428571428572,0.7142857142857143
E2_strong_first,88,0.421875,0.422601880877743,0.4,0.27586206896551724,0.45454545454545453,0.56,0.5844155844155844,0.45454545454545453,0.35714285714285715,0.625,0.6081632653061224,0.8163265306122449,0.7266019417475729,0.56
E3_soft_voting,88,0.359375,0.260989010989011,0.0,0.0,0.42857142857142855,0.6153846153846154,0.3694581280788177,0.42857142857142855,0.2777777777777778,0.9375,0.42857142857142855,0.8571428571428571,0.7586726998491704,0.6153846153846154
baseline_flat4,99,0.40625,0.3959725563574802,0.46511627906976744,0.2222222222222222,0.20689655172413793,0.6896551724137931,0.48728665970045276,0.20689655172413793,0.23076923076923078,0.1875,0.5972640218878249,0.7294117647058823,0.7993730407523512,0.6896551724137931
E1_contra_first,99,0.4375,0.4412353970314352,0.5384615384615384,0.15384615384615385,0.3829787234042553,0.6896551724137931,0.5124770160231154,0.3829787234042553,0.2903225806451613,0.5625,0.7104072398190044,0.8823529411764706,0.7993730407523512,0.6896551724137931
E2_strong_first,99,0.453125,0.45581501831501836,0.5384615384615384,0.15384615384615385,0.4166666666666667,0.7142857142857143,0.5333333333333333,0.4166666666666667,0.3125,0.625,0.7104072398190044,0.8823529411764706,0.8171428571428572,0.7142857142857143
E3_soft_voting,99,0.4375,0.3975599919338576,0.3333333333333333,0.1111111111111111,0.45614035087719296,0.6896551724137931,0.5097603162836669,0.45614035087719296,0.3170731707317073,0.8125,0.5897435897435898,0.8461538461538461,0.7993730407523512,0.6896551724137931
baseline_flat4,111,0.46875,0.426638837353123,0.4489795918367347,0.16666666666666666,0.18181818181818182,0.9090909090909091,0.5060034305317325,0.18181818181818182,0.3333333333333333,0.125,0.5536037199690003,0.6582278481012658,0.938755980861244,0.9090909090909091
E1_contra_first,111,0.515625,0.4632010943912449,0.5116279069767442,0.0,0.4,0.9411764705882353,0.6081632653061224,0.4,0.42857142857142855,0.375,0.6322845417236662,0.7529411764705882,0.9599499374217773,0.9411764705882353
E2_strong_first,111,0.46875,0.434803528468324,0.5116279069767442,0.0,0.4,0.8275862068965517,0.5870967741935484,0.4,0.3684210526315789,0.4375,0.6322845417236662,0.7529411764705882,0.8885405781957506,0.8275862068965517
E3_soft_voting,111,0.484375,0.4067744088482075,0.2608695652173913,0.0,0.49122807017543857,0.875,0.5413886829750432,0.49122807017543857,0.34146341463414637,0.875,0.5494824016563147,0.8380952380952381,0.9166666666666667,0.875
