audit_id_hash,evidence_text_sha256,selected_evidence_sha256,selected_evidence_length,evidence_text_length,alignment_class,similarity_score,conflict_candidate
7ed9113f76c0feca,8499f5cbba9e06db16afe60187ddebb9fd51d04f4f603fa912cec82c896368d5,945883412bc8f70d8509812743817be996af6800b333ee18b94ee8ad04429849,120,171,partial_overlap,0.488,False
22d10dcfe71dacff,0b853e11a541b021d8ee3ca3ebe2cf82adce48afaf3c1edaf1d1b3eccbf6962e,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,339,missing_or_invalid,0.0,False
6035cadbe063330d,e598be9bb01d57fbd096bfadf3026982fd4197d1ba94ec5333914e578d9c094e,82a8a23e844cf632ad11dfc3d747b9f04aa9153fc843c1393bd39ae76b4a6dfc,76,149,partial_overlap,0.3289,False
77fe95111e077fae,8f54ac78eeb9eaf3cd91802b09d7827febd6fecbde0350deeb4f76d93382b383,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,70,missing_or_invalid,0.0,False
0e7b590865d8d4a6,8499f5cbba9e06db16afe60187ddebb9fd51d04f4f603fa912cec82c896368d5,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,171,missing_or_invalid,0.0,False
b5d118ccea0b9592,05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,186,missing_or_invalid,0.0,False
c9eaa286c01596ce,4bdf3c7597a3aa48c5a9a09f6cf1cf1e08737e0bada02014d6d0e6329dc730db,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,142,missing_or_invalid,0.0,False
9ee15ffdd7798dc5,74847b17e1e7552830bd19ec5aaa63d091891e003ba3396ca79b570521e98597,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,211,missing_or_invalid,0.0,False
2590a09335699f1e,12e03db8fe01fbaef18d1b4bf4070792dc4bbed84b1441c737ad04542136663f,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,247,missing_or_invalid,0.0,False
d968059cdba8f816,b723218b57233e2295021b7d057dd7d82f14c3adeb9b09ac6b8193fc9364ee26,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,165,missing_or_invalid,0.0,False
24e6a1b2cb18ced4,f1058437ee3d6761b7f79987e752151cb111280f8f209dd6616823f8ec2b5c0f,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,164,missing_or_invalid,0.0,False
9d9e53d929c0fb7b,36000ebcbec0164f455a51e3eb0b7ad16a4cbcc8e6d02fbee67cc6223aec58e1,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,223,missing_or_invalid,0.0,False
f70e76c568062066,3051a40b51265b4f68b6f159cb78248b42d15f40401beb7495e5f429ab213e82,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,120,missing_or_invalid,0.0,False
111bc3a900176cd6,40c28bd40d398e3eccc966577a613cbd49bc559c542dbb1b25d254c69b0c5219,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,195,missing_or_invalid,0.0,False
4d7cb2caa84d4295,c6d6298baecee5a3ac046fdb5e685dad7835f34d5e9513f960c50aa700ba6a01,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,201,missing_or_invalid,0.0,False
5765a1c0ea3a5bc1,8ecdb274207549aeebabcdc8b6471d8d3fa0cdb0538b92d474fa30bd187ec383,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,329,missing_or_invalid,0.0,False
59e0d95e7f5eed28,b64e01bee5a220d5302ee0587bc8f4e8131300e3004be391a56756e217e4df89,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,121,missing_or_invalid,0.0,False
85d60c3b0c2bfb28,62c4d34280e7d33fd22a8fb2b96d9ee25bd9548b02569b777dc9dafb746ebd5c,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,165,missing_or_invalid,0.0,False
28664a665590c920,15291939306b1ae7d86fc783d0370b291bc69c433c2b36f19f5682ebf12f7345,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,191,missing_or_invalid,0.0,False
2acd82553ed22868,d6e6dfa236313d7fa26da23cf16507d18528c5c6cf952679340daf0af5cf698f,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,185,missing_or_invalid,0.0,False
d62200af841a5a4a,e598be9bb01d57fbd096bfadf3026982fd4197d1ba94ec5333914e578d9c094e,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,149,missing_or_invalid,0.0,False
8271f6316b76219c,12e03db8fe01fbaef18d1b4bf4070792dc4bbed84b1441c737ad04542136663f,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,247,missing_or_invalid,0.0,False
0251fbba7f3cd705,f20bc1d56eda4fc50d6d0e237529dbe2277097771238ea9436a4d2e2f98b65b7,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,157,missing_or_invalid,0.0,False
b782f6b5fcdbeb20,8f54ac78eeb9eaf3cd91802b09d7827febd6fecbde0350deeb4f76d93382b383,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,70,missing_or_invalid,0.0,False
467664f4b0397c4e,2719cd03144eac5beb2b9ae6a1487e9eeb2829d6790e51fc8e092955ad171286,478aca9d9b72162494fb5acd6cdb13377f01fdb71aeeed3ccf02492d116578da,90,172,partial_overlap,0.5802,False
bb27b77a42b33e3b,46b186166e58fc91678a34170478a902e4917ec372a7064322b9996168acbb3d,c6c9fe8c8c1b19af9ed61ba574374133185fae167e5830d5e37348580aa8b651,163,115,partial_overlap,0.2286,False
b841cec0826cf15e,c3b529dbc1f6702ee13c1325f9aaf2654ac133b058236321959fe22263ca2882,8bcbb4c131df56f7c79066016241cc4bdf4e58db55c4f674e88b22365bd2e2ad,3,271,missing_or_invalid,0.0,False
81b35f7912a8e8de,b00a30ef67cc587eaca5733214e7bf62788faf81bd46b44c16c56d0327b754ec,9084f491c0af055d6e29dc4ff0d530c188eb4edc90de0ed95dc92795968ffbcf,77,161,exact_or_contained,1.0,False
2f08bc5ab03d7a59,f096fcec9bbb097fedd7e01867d576489c9a1112f683bde5278cedec38946cd2,27cd58c3989ff832d85321e35be594ad8a6443119f8dc3462a7cf8ae4811b10d,103,322,low_or_unrelated,0.0417,False
2ac119d230ec7507,edf92dc7f282ad502e05dbd104d66c61750ec65fb4753e875a9e132415cf1258,e4424ad675ca67688ddf171025122ce0ce64bca8f478b061cc10ad1ac73df5cb,157,131,partial_overlap,0.3819,False
