file_path,file_name,extension,size,last_write_time,matched_keyword,likely_asset_type
D:\ocn_backup_20260704_1606\experiments\simclaim_hardpair_v3_targeted_balanced_resplit_seed50_small_baselines\predictions\balanced_resplit_seed50_predictions.csv,balanced_resplit_seed50_predictions.csv,.csv,263328,2026-07-01T13:45:37.625388,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_hardpair_v3_targeted_small_baselines\predictions\v3_targeted_small_data_baseline_predictions.csv,v3_targeted_small_data_baseline_predictions.csv,.csv,262826,2026-07-01T13:39:03.238445,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_hardpair_v4b_no_llm_style_control_baselines\predictions\style_control_predictions.csv,style_control_predictions.csv,.csv,655810,2026-07-01T15:33:28.977091,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_hardpair_v4b_pilot_small_baselines\predictions\v4b_pilot_small_data_baseline_predictions.csv,v4b_pilot_small_data_baseline_predictions.csv,.csv,135694,2026-07-01T16:54:08.811183,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_hardpair_v4b_pilot_strict_pass_baselines\predictions\v4b_pilot_strict_pass_baseline_predictions.csv,v4b_pilot_strict_pass_baseline_predictions.csv,.csv,147922,2026-07-01T21:41:26.286716,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_hardpair_v4_pilot_cue_ablation_small_baselines\predictions\cue_ablation_predictions.csv,cue_ablation_predictions.csv,.csv,262678,2026-07-01T14:49:25.353154,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_hardpair_v4_pilot_small_baselines\predictions\v4_pilot_small_data_baseline_predictions.csv,v4_pilot_small_data_baseline_predictions.csv,.csv,262440,2026-07-01T14:25:19.233449,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_release_candidate_v1_19_leakage_filtered_small_baselines\predictions\leakage_filtered_small_baseline_predictions.csv,leakage_filtered_small_baseline_predictions.csv,.csv,135513,2026-07-01T23:21:45.618678,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_v4_evidence_necessity\v4_readiness_gate.json,v4_readiness_gate.json,.json,1407,2026-07-02T19:04:42.355089,readiness_gate,threshold
D:\ocn_backup_20260704_1606\experiments\simclaim_v4_nonpaper_prototype\v4_nonpaper_prototype_readiness_gate.json,v4_nonpaper_prototype_readiness_gate.json,.json,3953,2026-07-02T19:48:11.056692,readiness_gate,threshold
D:\ocn_backup_20260704_1606\experiments\simclaim_v4_protocol_freeze\v4_protocol_freeze_readiness_gate.json,v4_protocol_freeze_readiness_gate.json,.json,2014,2026-07-02T20:07:19.460786,readiness_gate,threshold
D:\ocn_backup_20260704_1606\experiments\simclaim_v4_source_genre_pilot\v4_source_genre_readiness_gate.json,v4_source_genre_readiness_gate.json,.json,3729,2026-07-02T19:13:51.987439,readiness_gate,threshold
D:\ocn_backup_20260704_1606\experiments\strict_silver_max_v1\predictions_test.csv,predictions_test.csv,.csv,11889,2026-07-02T12:40:34.965005,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\strict_silver_max_v1_binary_decomposition\binary_predictions_test.csv,binary_predictions_test.csv,.csv,20707,2026-07-02T12:45:50.929876,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\strong_action_broad_sweep_v2\mixed_framework_v2_readiness_gate.json,mixed_framework_v2_readiness_gate.json,.json,1311,2026-07-03T11:51:31.212181,mixed_framework|readiness_gate,threshold
D:\ocn_backup_20260704_1606\experiments\strong_action_broad_sweep_v2\mixed_framework_v2_results.csv,mixed_framework_v2_results.csv,.csv,2480,2026-07-03T11:51:30.898407,mixed_framework,routing_logic
D:\ocn_backup_20260704_1606\experiments\v3_external_gold_llm_plan_v1\external_gold_llm_readiness_gate.json,external_gold_llm_readiness_gate.json,.json,2710,2026-07-04T01:44:35.370740,readiness_gate,threshold
D:\ocn_backup_20260704_1606\experiments\v3_r4_strong_baselines_holdout_v1\r4_vs_strong_baselines.csv,r4_vs_strong_baselines.csv,.csv,950,2026-07-04T01:24:52.166940,r4,prediction
D:\ocn_backup_20260704_1606\experiments\v3_r4_strong_baselines_holdout_v1\validation_readiness_gate.json,validation_readiness_gate.json,.json,2844,2026-07-04T01:33:05.880850,readiness_gate,threshold
D:\ocn_backup_20260704_1606\gold_pilot_preparation_v1\gold_pilot_candidate_50.csv,gold_pilot_candidate_50.csv,.csv,34735,2026-07-04T15:57:35.050869,candidate,candidate_pool
D:\ocn_backup_20260704_1606\handoff_from_chatgpt\batch01_ad_core\claim_candidates_batch.csv,claim_candidates_batch.csv,.csv,22374,2026-07-01T17:28:52,candidate,candidate_pool
D:\ocn_backup_20260704_1606\handoff_from_chatgpt\batch02_ad_hidrive\claim_candidates_batch.csv,claim_candidates_batch.csv,.csv,3993,2026-07-01T17:49:56,candidate,candidate_pool
D:\ocn_backup_20260704_1606\handoff_from_chatgpt\batch03_ad_dsbench_drivee2e\claim_candidates_batch.csv,claim_candidates_batch.csv,.csv,7233,2026-07-01T18:12:12,candidate,candidate_pool
D:\ocn_backup_20260704_1606\handoff_from_chatgpt\batch04_cyber_defense\claim_candidates_batch.csv,claim_candidates_batch.csv,.csv,30197,2026-07-01T18:20:50,candidate,candidate_pool
D:\ocn_backup_20260704_1606\handoff_from_chatgpt\batch05_robotics_digital_twin\claim_candidates_batch.csv,claim_candidates_batch.csv,.csv,22109,2026-07-01T18:26:16,candidate,candidate_pool
D:\ocn_backup_20260704_1606\handoff_from_chatgpt_all92\all92_batch01_autonomous_driving_ad-001_to_ad-004\claim_candidates_batch.csv,claim_candidates_batch.csv,.csv,30711,2026-07-01T19:23:12,candidate,candidate_pool
D:\ocn_backup_20260704_1606\handoff_from_chatgpt_all92\all92_batch02_autonomous_driving_ad-005_to_ad-006\claim_candidates_batch.csv,claim_candidates_batch.csv,.csv,14425,2026-07-02T03:32:24.646410,candidate,candidate_pool
D:\ocn_backup_20260704_1606\handoff_from_chatgpt_all92\all92_batch03_autonomous_driving_ad-007_to_ad-009\claim_candidates_batch.csv,claim_candidates_batch.csv,.csv,18317,2026-07-02T03:47:04.824547,candidate,candidate_pool
D:\ocn_backup_20260704_1606\handoff_from_chatgpt_all92\all92_batch04_autonomous_driving_ad-010_to_ad-014\claim_candidates_batch.csv,claim_candidates_batch.csv,.csv,41921,2026-07-02T03:58:41.249410,candidate,candidate_pool
D:\ocn_backup_20260704_1606\handoff_from_chatgpt_all92\all92_batch05_autonomous_driving_ad-015_to_ad-017\claim_candidates_batch.csv,claim_candidates_batch.csv,.csv,29975,2026-07-02T10:01:23.411246,candidate,candidate_pool
D:\ocn_backup_20260704_1606\handoff_from_chatgpt_all92\all92_batch06_autonomous_driving_ad-018_to_ad-023\claim_candidates_batch.csv,claim_candidates_batch.csv,.csv,43958,2026-07-02T10:09:07.344346,candidate,candidate_pool
D:\ocn_backup_20260704_1606\handoff_from_chatgpt_all92\all92_batch07_autonomous_driving_ad-024_to_ad-024\claim_candidates_batch.csv,claim_candidates_batch.csv,.csv,8785,2026-07-02T10:24:25.309609,candidate,candidate_pool
